Season,Rank,Club,Pl,W,D,L,Goals,GD,Pts,Points per match
2023/24,1,BSC Young Boys,38,23,8,7,76 : 34,42,77,2.03
2023/24,2,FC Lugano,38,20,5,13,67 : 51,16,65,1.71
2023/24,3,Servette FC,38,18,10,10,59 : 43,16,64,1.68
2023/24,4,FC Zürich,38,16,12,10,53 : 41,12,60,1.58
2023/24,5,FC St. Gallen 1879,38,16,9,13,60 : 51,9,57,1.50
2023/24,6,FC Luzern,38,13,10,15,47 : 53,-6,49,1.29
2023/24,7,FC Basel 1893,38,13,10,15,45 : 52,-7,49,1.29
2023/24,8,FC Winterthur,38,13,10,15,60 : 71,-11,49,1.29
2023/24,9,Yverdon Sport FC,38,13,8,17,50 : 71,-21,47,1.24
2023/24,10,FC Lausanne-Sport,38,11,12,15,48 : 53,-5,45,1.18
2023/24,11,Grasshopper Club Zurich,38,10,8,20,41 : 49,-8,38,1.00
2023/24,12,FC Stade-Lausanne-Ouchy,38,7,8,23,40 : 77,-37,29,0.76
2022/23,1,BSC Young Boys,36,21,11,4,82 : 30,52,74,2.06
2022/23,2,Servette FC,36,14,16,6,53 : 48,5,58,1.61
2022/23,3,FC Lugano,36,15,12,9,59 : 47,12,57,1.58
2022/23,4,FC Luzern,36,13,11,12,56 : 52,4,50,1.39
2022/23,5,FC Basel 1893,36,11,14,11,51 : 50,1,47,1.31
2022/23,6,FC St. Gallen 1879,36,11,12,13,66 : 52,14,45,1.25
2022/23,7,Grasshopper Club Zurich,36,12,8,16,56 : 64,-8,44,1.22
2022/23,8,FC Zürich,36,10,14,12,41 : 55,-14,44,1.22
2022/23,9,FC Winterthur,36,8,8,20,32 : 66,-34,32,0.89
2022/23,10,FC Sion,36,7,10,19,41 : 73,-32,31,0.86
2021/22,1,FC Zürich,36,23,7,6,78 : 46,32,76,2.11
2021/22,2,FC Basel 1893,36,15,17,4,70 : 41,29,62,1.72
2021/22,3,BSC Young Boys,36,16,12,8,80 : 50,30,60,1.67
2021/22,4,FC Lugano,36,16,6,14,50 : 54,-4,54,1.50
2021/22,5,FC St. Gallen 1879,36,14,8,14,68 : 63,5,50,1.39
2021/22,6,Servette FC,36,12,8,16,50 : 66,-16,44,1.22
2021/22,7,FC Sion,36,11,8,17,46 : 67,-21,41,1.14
2021/22,8,Grasshopper Club Zurich,36,9,13,14,54 : 58,-4,40,1.11
2021/22,9,FC Luzern,36,9,13,14,52 : 64,-12,40,1.11
2021/22,10,FC Lausanne-Sport,36,4,10,22,37 : 76,-39,22,0.61
2020/21,1,BSC Young Boys,36,25,9,2,74 : 29,45,84,2.33
2020/21,2,FC Basel 1893,36,15,8,13,60 : 53,7,53,1.47
2020/21,3,Servette FC,36,14,8,14,45 : 56,-11,50,1.39
2020/21,4,FC Lugano,36,12,13,11,40 : 42,-2,49,1.36
2020/21,5,FC Luzern,36,12,10,14,62 : 59,3,46,1.28
2020/21,6,FC Lausanne-Sport,36,12,10,14,52 : 55,-3,46,1.28
2020/21,7,FC St. Gallen 1879,36,11,11,14,45 : 48,-3,44,1.22
2020/21,8,FC Zürich,36,11,10,15,53 : 57,-4,43,1.19
2020/21,9,FC Sion,36,8,14,14,48 : 58,-10,38,1.06
